binary,stem,alpha,F1
False,False,0.8,0.8119378246426138
False,False,1.0,0.8156357458271168
False,False,1.2,0.8166676084060356
False,False,1.4,0.8196944231763048
False,False,1.6,0.820737707504058
False,False,1.8,0.8222304123966875
False,False,2.0,0.8222733248302341
False,False,2.2,0.8237530260322508
False,False,2.4,0.8212569860654841
False,False,2.6,0.8218055713035518
False,False,2.8,0.8222478949708
False,False,3.0,0.8212542890364762
False,False,3.2,0.8227266458262562
False,False,3.4,0.8215891508487111
False,False,3.6,0.8205552174685913
False,False,3.8,0.8189700415151219
