binary	stem	alpha	F1
FALSE	FALSE	1	0.819153276
FALSE	FALSE	0.1	0.811281548
FALSE	FALSE	0.14	0.814241726
FALSE	FALSE	0.2	0.814704769
FALSE	FALSE	0.28	0.81418956
FALSE	FALSE	0.4	0.812703269
FALSE	FALSE	0.57	0.814677634
FALSE	FALSE	0.8	0.816634658
FALSE	FALSE	1.13	0.820700965
FALSE	FALSE	1.6	0.825247524
FALSE	TRUE	1	0.615469852
FALSE	TRUE	0.1	0.644129763
FALSE	TRUE	0.14	0.642364793
FALSE	TRUE	0.2	0.641181675
FALSE	TRUE	0.28	0.632936883
FALSE	TRUE	0.4	0.6267964
FALSE	TRUE	0.57	0.624527994
FALSE	TRUE	0.8	0.618400945
FALSE	TRUE	1.13	0.616909147
FALSE	TRUE	1.6	0.620634156
TRUE	FALSE	1	0.721272298
TRUE	FALSE	0.1	0.738447148
TRUE	FALSE	0.14	0.731670274
TRUE	FALSE	0.2	0.729267686
TRUE	FALSE	0.28	0.724251919
TRUE	FALSE	0.4	0.724952818
TRUE	FALSE	0.57	0.723448022
TRUE	FALSE	0.8	0.721899391
TRUE	FALSE	1.13	0.720524182
TRUE	FALSE	1.6	0.724796288
TRUE	TRUE	1	0.400467281
TRUE	TRUE	0.1	0.484547816
TRUE	TRUE	0.14	0.467460528
TRUE	TRUE	0.2	0.453123116
TRUE	TRUE	0.28	0.441957738
TRUE	TRUE	0.4	0.426840597
TRUE	TRUE	0.57	0.413062541
TRUE	TRUE	0.8	0.404397696
TRUE	TRUE	1.13	0.398568298
TRUE	TRUE	1.6	0.395523215
